"item_id";"company_id";"part_number";"name";"description";"barcode";"location_room";"location_row";"location_column";"location_shelf";"category_id";"current_quantity";"available_quantity";"recommended_lowest_quantity";"recommended_highest_quantity";"remarks";"active";"image_url";"sale_price";"factory_due_date";"suppliers_id";"fits_in_model";"created";"modified";"deleted";
"1";"0";"1006863";"Charcoalfilter mod.fwu 50";"Charcoalfilter mod.fwu 50";"1006863";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"2011-08-11 14:06:57";"2011-08-11 14:06:57";"0000-00-00 00:00:00";
"2";"0";"1006864";"Charcoalfilter mod.FWU 60";"Filter cover";"1006864";"2";"E";"1";"1";"0";"0.0";"0.0";"1.0";"9.0";"Filter cover - Item scraped as stocktaken on 28 Apr, 2014";"1";"NULL";"2.0";"0000-00-00";"10";"NULL";"2011-11-21 09:47:17";"March 28, 2012, 1:29 pm";"0000-00-00 00:00:00";
"3";"0";"1006923";"Grease filter  ft 60";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"4";"0";"1006924";"Lamp cover";"lamp cover";"1006924";"2";"E";"1";"1";"0";"3.0";"3.0";"0.0";"0.0";" - Item updated as stocktaken on 28 Apr, 2014 - Item updated as stocktaken on 26 Apr, 2015";"1";"NULL";"0.9";"0000-00-00";"10";"NULL";"0000-00-00 00:00:00";"August 22, 2013, 2:28 pm";"0000-00-00 00:00:00";
"5";"0";"1006929";"Grease filter  ft 50";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"6";"0";"1006931";"Exhaust flange  120";"NULL";"1006931";"NULL";"NULL";"NULL";"NULL";"0";"3.0";"3.0";"0.0";"0.0";" - Item updated as stocktaken on 28 Apr, 2014 - Item updated as stocktaken on 26 Apr, 2015";"1";"NULL";"0.9";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"7";"0";"1006932";"Plug 120";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"8";"0";"1006945";"Reflection plate";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"9";"0";"1006949";"Bulb 40w";"NULL";"1006949";"NULL";"NULL";"NULL";"NULL";"0";"1.0";"1.0";"0.0";"0.0";" - Item updated as stocktaken on 26 Apr, 2015";"1";"NULL";"1.8";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"10";"0";"1006953";"Masking cover fasten. set";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
